name,category,title,description,date,keyword
유승민,사회,대구경북과학기술원법 일부개정법률안	,,2013-01-30,대구경북과학기술원
유승민,사회,광주과학기술원법 일부개정법률안	,,2013-01-30,광주과학기술원
유승민,민생,농어업인 부채경감에 관한 특별조치법 일부개정법률안	,,2013-01-30,농어업
유승민,기타,한국과학기술원법 일부개정법률안        ,,2013-01-30,한국과학기술원
유승민,기타,농림수산식품투자조합 결성 및 운용에 관한 법률 일부개정법률안	,,2013-01-30,농림수산식품투자조합
유승민,기타,생명공학육성법 일부개정법률안	,,2013-01-30,생명공학
유승민,기타,저탄소 녹색성장 기본법 일부개정법률안	,,2013-01-30,녹색성장
유승민,기타,생명연구자원의 확보·관리 및 활용에 관한 법률 일부개정법률안	,,2013-01-30,생명연구자원
유승민,민생,농어업재해대책법 일부개정법률안	,,2013-01-30,"농어업, 재해"
유승민,기타,농림수산식품과학기술 육성법 일부개정법률안	,,2013-01-30,농림수산식품과학기술
유승민,민생,농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법 일부개정법률안,,2013-01-30,농어업인
유승민,기타,옥외광고물 등 관리법 일부개정법률안	,,2013-01-30,옥외광고물
유승민,기타,종자산업법 일부개정법률안	,,2013-01-30,종자산업
유승민,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2013-02-01,국무총리
유승민,정치,대한민국 국가법안	,,2013-02-04,국가법안
유승민,기타,농업기계화 촉진법 일부개정법률안	,,2013-02-04,농업기계화
유승민,정치,형법 일부개정법률안	,,2013-02-04,형법
유승민,민생,농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법 일부개정법률안	,,2013-02-04,농어업인
유승민,정치,대한민국 국민의례법안	,,2013-02-04,국민의례
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(정치·외교·통일·안보·경제·교육·사회·문화에 관한 질문)	,,2013-02-06,국무총리
유승민,기타,국민체육진흥법 일부개정법률안	,,2013-02-18,체육진흥
유승민,경제,조세특례제한법 일부개정법률안	,,2013-02-18,조세특례
유승민,민생,양육비 이행확보 지원기관 설치에 관한 법률안	,,2013-02-21,양육비
유승민,안보,UN 북한반인도범죄조사기구 설립 지지 결의안	,,2013-02-27,북한반인도범죄기구
유승민,경제,세무조사에 관한 법률안	,,2013-02-28,세무조사
유승민,경제,대규모유통업에서의 거래 공정화에 관한 법률 일부개정법률안	,,2013-03-19,"거래, 공정화"
유승민,경제,가맹사업거래의 공정화에 관한 법률 일부개정법률안	,,2013-03-19,가맹사업거래
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(경제·교육·사회·문화에 관한 질문)	,,2013-04-10,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(정치·외교·통일·안보에 관한 질문)	,,2013-04-10,국무총리
유승민,기타,건축법 일부개정법률안	,,2013-04-17,건축법
유승민,기타,석유 및 석유대체연료 사업법 일부개정법률안	,,2013-05-02,석유대체연료
유승민,역사,6·25 참전 비정규군 공로자 보상에 관한 법률안	,,2013-05-03,비정규군
유승민,정치,국회입법조사처법 일부개정법률안	,,2013-05-07,국회입법조사처
유승민,정치,행정규제기본법 일부개정법률안	,,2013-05-16,행정규제기본법
유승민,역사,원자폭탄 피해자 및 피해자자녀 지원을 위한 특별법안	,,2013-05-20,원자폭탄
유승민,기타,학교보건법 일부개정법률안	,,2013-05-21,학교보건법
유승민,기타,소방기본법 일부개정법률안	,,2013-05-21,소방기본법
유승민,안보,주한미군 공여구역주변지역 등 지원 특별법 일부개정법률안	,,2013-05-21,공여구역주변지역
유승민,기타,국제기구 유치 및 설립 등에 관한 법률안	,,2013-05-23,국제기구
유승민,기타,2015세계물포럼 지원 특별위원회 구성결의안	,,2013-05-24,세계물포럼
유승민,정치,국회법 일부개정법률안	,,2013-05-27,국회법
유승민,정치,국무총리 및 국무위원 출석요구의 건(외교·통일·안보에 관한 질문)	,,2013-05-31,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(정치에 관한 질문)	,,2013-05-31,국무총리
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(경제에 관한 질문)	,,2013-05-31,국무총리
유승민,정치,국무총리 및 국무위원 출석요구의 건(국정에 관한 교섭단체 대표연설)	,,2013-05-31,국무총리
유승민,정치,국무총리·국무위원 및 정부위원 출석요구의 건(교육·사회·문화에 관한 질문)	,,2013-05-31,국무총리
유승민,안보,국군의 해외파견활동 참여에 관한 법률안	,,2013-06-04,국군
유승민,민생,국민체육진흥법 일부개정법률안,,2013-06-05,국민체융진흥법
유승민,민생,지방공기업법 일부개정법률안	,,2013-06-05,지방공기업
유승민,안보,전쟁기념사업회법 일부개정법률안,,2013-06-11,전쟁기념사업회
유승민,기타,과학교육 진흥법 일부개정법률안	,,2013-06-12,과학교육
유승민,민생,성폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안	,,2013-06-17,성폭력
유승민,민생,성매매방지 및 피해자보호 등에 관한 법률 일부개정법률안	,,2013-06-17,성매매
유승민,민생,가정폭력방지 및 피해자보호 등에 관한 법률 일부개정법률안	,,2013-06-17,가정폭력
유승민,정치,집회 및 시위에 관한 법률 일부개정법률안	,,2013-06-20,"집회, 시위"
유승민,정치,국가정보원 댓글 의혹 사건 등의 진상규명을 위한 국정조사 요구	,,2013-06-26,국가정보원
유승민,안보,병역법 일부개정법률안	,,2013-06-27,병역법
유승민,정치,공직선거법 일부개정법률안	,,2013-06-27,공직선거
유승민,민생,성별영향분석평가법 일부개정법률안	,,2013-06-27,성별영향분석평가
유승민,안보,군용비행장 소음피해 방지 및 보상에 관한 법률안	,,2013-07-01,군용비행장
